MIPI Signal,FMC Connector Pin,ZCU102 HPC0,ZCU102 HPC1,ZCU106,ZCU106,ZCU104
,,Bank 66,Bank 65,HPC0,HPC1,HPC0
CAM1_MIPI_CLK_P,G6,Y4,G6,F17,B18, F17 
CAM1_MIPI_D0_P,D14,W2,AE2,H16,G20, H16 
CAM1_MIPI_D1_P,H7,V2,AD2,L20,K22, L20 
CAM1_MIPI_D2_P,C10,AC2,AH2,H19,H21, H19 
CAM1_MIPI_D3_P,G9,Y2,AH1,K19,J21, K19 
CAM1_I2C_SCL,D11,AB3,AG3,H18,G25, K17 
CAM1_I2C_SDA,D12,AC3,AH3,H17,G26, J17 
CAM1_ENABLE,G2,T8,P10,G10,x, G10 
CAM1_REF_CLK,G3,R8,P9,F10,x, F10 
,,,,,,
CAM2,,,,,,
CAM2_MIPI_CLK_P,H19,x,x,D16,A18,D16
CAM2_MIPI_D0_P,G18,,,D17,C18,G18
CAM2_MIPI_D1_P,G12,,,E18,J25,E18
CAM2_I2C_SCL,D18,,,F15,C22,F15
CAM2_I2C_SDA,D17,,,G15,C21,G15
CAM2_ENABLE,C27,,,A7,x,A7 
CAM2_REF_CLK,C26,,,A8,x,A8 
,,,,,,
CAM 3,,,,,,
CAM3_MIPI_CLK_P,C22,N9,x,D11,x,D11
CAM3_MIPI_D0_P,G27,M11,,C7,,C7 
CAM3_MIPI_D1_P,H28,L12,,B6,,B6 
CAM3_MIPI_D2_P,D26,L15,,B9,,B9 
CAM3_MIPI_D3_P,H25,P12,,B10,,B10
CAM3_I2C_SCL,H34,V6,,E9,,E9 
CAM3_I2C_SDA,H35,U6,,D9,,D9 
CAM3_ENABLE,H38,T11,,E8,,E8 
CAM3_REF_CLK,H37,U11,,F8,,F8 
,,,,,,
,,,,,,
CAM4,,,,,,
CAM4_MIPI_CLK_P,D20,P11,x,x,,
CAM4_MIPI_D0_P,D23,L16,,,,
CAM4_MIPI_D1_P,G24,M15,,,,
CAM4_MIPI_D2_P,H22,L13,,,,
CAM4_MIPI_D3_P,G21,N13,,,,
CAM4_I2C_SCL,G34,V7,,,,
CAM4_I2C_SDA,G33,V8,,,,
CAM4_ENABLE,G36,V12,,,,
CAM4_REF_CLK,G37,V11,,,,
